"limits",30.0009,100.0074
"masked X","X","obs","calc","bkg","diff"
30.0009,30.0009,219.0,236.5637838126264,236.3142,-41.58378381262641
30.0204,30.0204,237.0,236.5888881037464,236.33867422167023,-23.6088881037464
30.0398,30.0398,240.0,236.61385644293895,236.36301317096272,-20.633856442938953
30.0593,30.0593,208.0,236.63894614615546,236.3874677648804,-52.65894614615546
30.0787,30.0787,224.0,236.66389991768696,236.4117871870755,-36.68389991768696
30.0982,30.0982,202.0,236.68897506686702,236.43622215324066,-58.70897506686701
30.1177,30.1177,227.0,236.71404291104642,236.46064728030115,-33.734042911046416
30.1371,30.1371,232.0,236.7389749548674,236.48493738675108,-28.758974954867387
30.1566,30.1566,215.0,236.76402829280357,236.509342886059,-45.78402829280357
30.176,30.176,248.0,236.78894596215127,236.53361346541155,-12.808945962151274
30.1955,30.1955,204.0,236.81398491707986,236.55799933696693,-56.83398491707986
30.2149,30.2149,258.0,236.83888823933646,236.5822503892221,-2.858888239336455
30.2344,30.2344,235.0,236.86391274795537,236.606616633025,-25.883912747955367
30.2539,30.2539,216.0,236.88893008891458,236.63097303772312,-44.90893008891457
30.2733,30.2733,243.0,236.91381199060828,236.65519477423314,-17.93381199060828
30.2928,30.2928,219.0,236.93881508785847,236.67953155117877,-41.95881508785847
30.3122,30.3122,242.0,236.96368282298954,236.70373376059138,-18.98368282298954
30.3317,30.3317,249.0,236.98867161737124,236.72805090978449,-12.008671617371238
30.3511,30.3511,236.0,237.01352524657193,236.7522335920997,-25.03352524657193
30.3706,30.3706,239.0,237.03849981343882,236.7765311135403,-22.058499813438818
30.3901,30.3901,237.0,237.0634674283183,236.80081879587615,-24.08346742831829
30.4095,30.4095,241.0,237.08829991160792,236.82497216244624,-20.10829991160792
30.429,30.429,218.0,237.11325336080324,236.84924021702955,-43.13325336080324
30.4484,30.4484,248.0,237.13807192421487,236.87337405650223,-13.15807192421487
30.4679,30.4679,218.0,237.16301127792292,236.89762248333304,-43.183011277922915
30.4873,30.4873,226.0,237.18781590537984,236.92173679570834,-35.20781590537983
30.5068,30.5068,264.0,237.21274140473918,236.94596559478666,2.7672585952608237
30.5263,30.5263,253.0,237.23765996196215,236.9701845547602,-8.257659961962151
30.5457,30.5457,218.0,237.26244373980896,236.99426955139035,-43.282443739808954
30.5652,30.5652,227.0,237.28734835464272,237.01846888361138,-34.30734835464271
30.5846,30.5846,217.0,237.3121184454598,237.04253435314413,-44.332118445459784
30.6041,30.6041,226.0,237.33700926504784,237.06671405761264,-35.357009265047836
30.6235,30.6235,239.0,237.3617656380267,237.09076000004802,-22.381765638026696
30.643,30.643,224.0,237.38664279093254,237.11492007676398,-37.40664279093254
30.6625,30.6625,219.0,237.41151302118053,237.13907031437526,-42.43151302118052
30.6819,30.6819,219.0,237.43624892504388,237.16308694106544,-42.45624892504388
30.7014,30.7014,233.0,237.46110555962994,237.1872175509242,-28.481105559629942
30.7208,30.7208,213.0,237.48582794797542,237.21121465051704,-48.50582794797542
30.7403,30.7403,203.0,237.51067105999596,237.23532563262324,-58.53067105999595
30.7597,30.7597,203.0,237.5353799892291,237.2593032051187,-58.55537998922911
30.7792,30.7792,224.0,237.56020958109067,237.28339455947238,-37.58020958109067
30.7987,30.7987,243.0,237.58503234080308,237.3074760747213,-18.60503234080308
30.8181,30.8181,210.0,237.60972120227288,237.3314243314716,-51.629721202272876
30.8376,30.8376,221.0,237.63453068955974,237.35548621896805,-40.654530689559735
30.857,30.857,234.0,237.65920622789204,237.37941494862093,-27.679206227892042
30.8765,30.8765,221.0,237.68400235704428,237.40345720836487,-40.704002357044274
30.8959,30.8959,232.0,237.70866473252326,237.42736641092034,-29.72866473252326
30.9154,30.9154,216.0,237.7334476046065,237.45138904291176,-45.75344760460651
30.9349,30.9349,239.0,237.75822389215233,237.4754018357984,-22.77822389215233
30.9543,30.9543,210.0,237.78286651964504,237.49928172260877,-51.802866519645036
30.9738,30.9738,245.0,237.80762970948115,237.5232748877429,-16.827629709481148
30.9932,30.9932,211.0,237.83225934788598,237.54713524745586,-50.852259347885976
31.0127,31.0127,206.0,237.85700934461386,237.57110878483746,-55.87700934461385
31.0321,31.0321,237.0,237.881626074741,237.59494961745307,-24.901626074741007
31.0516,31.0516,255.0,237.90636317425788,237.61890352708215,-6.926363174257876
31.0711,31.0711,214.0,237.93109383078482,237.64284759760653,-47.951093830784814
31.0905,31.0905,222.0,237.95569121132752,237.66665911447694,-39.975691211327515
31.11,31.11,220.0,237.98040896433432,237.69058355724877,-42.00040896433431
31.1294,31.1294,233.0,238.00499358536695,237.71437554702183,-29.024993585366946
31.1489,31.1489,242.0,238.02969855418567,237.73828036204114,-20.04969855418567
31.1683,31.1683,204.0,238.05427050377332,237.7620528247168,-58.07427050377332
31.1878,31.1878,231.0,238.0789628354267,237.78593801198357,-31.098962835426693
31.2073,31.2073,224.0,238.10364873141367,237.80981336014565,-38.12364873141367
31.2267,31.2267,241.0,238.12820178475928,237.83355650707614,-21.148201784759284
31.2462,31.2462,229.0,238.15287517144048,237.85741222748567,-33.17287517144048
31.2656,31.2656,229.0,238.1774157448679,237.88113584731877,-33.19741574486788
31.2851,31.2851,241.0,238.20207665692524,237.9049719399758,-21.222076656925243
31.3045,31.3045,214.0,238.22660484942634,237.92867603271154,-48.24660484942633
31.324,31.324,221.0,238.25125339506656,237.95249249761602,-41.27125339506655
31.3435,31.3435,210.0,238.2758955932048,237.97629912341577,-52.295895593204804
31.3629,31.3629,237.0,238.30040534101133,237.99997390040633,-25.320405341011327
31.3824,31.3824,217.0,238.32503539528068,238.0237608984536,-45.345035395280675
31.4018,31.4018,234.0,238.34953299950539,238.04741614834677,-28.369532999505385
31.4213,31.4213,230.0,238.37415078845078,238.0711835186415,-32.39415078845077
31.4407,31.4407,214.0,238.39863636906944,238.09481924143728,-48.41863636906943
31.4602,31.4602,224.0,238.42324202330815,238.1185669839795,-38.443242023308144
31.4797,31.4797,220.0,238.4478416960185,238.14230488741694,-42.46784169601848
31.4991,31.4991,233.0,238.47230923487368,238.16591129446758,-29.492309234873677
31.5186,31.5186,228.0,238.4968969906022,238.1896295701525,-34.516896990602206
31.538,31.538,227.0,238.5213526717975,238.21321645010576,-35.5413526717975
31.5575,31.5575,244.0,238.5459284656858,238.23691509803817,-18.56592846568579
31.5769,31.5769,212.0,238.5703724453824,238.26048245089405,-50.590372445382386
31.5964,31.5964,203.0,238.5949364829666,238.28416147107393,-59.6149364829666
31.6159,31.6159,230.0,238.6194947445625,238.3078306521491,-32.6394947445625
31.6353,31.6353,216.0,238.643921157244,238.33136868925982,-46.66392115724399
31.6548,31.6548,236.0,238.66846772376218,238.35501824258247,-26.688467723762177
31.6742,31.6742,217.0,238.6928826885739,238.37853675259578,-45.712882688573885
31.6937,31.6937,231.0,238.71741769607345,238.40216667816588,-31.737417696073454
31.7131,31.7131,235.0,238.74182118132885,238.42566566108184,-27.761821181328845
31.7326,31.7326,228.0,238.76634487285682,238.44927595889942,-34.786344872856816
31.7521,31.7521,217.0,238.7908627367882,238.47287641761233,-45.810862736788195
31.7715,31.7715,202.0,238.81524934218453,238.49634608478306,-60.835249342184525
31.791,31.791,257.0,238.83975590844307,238.51992691574344,-5.859755908443066
31.8104,31.8104,217.0,238.8641313137105,238.5433770558168,-45.88413131371048
31.8299,31.8299,213.0,238.8886268613776,238.56693825902462,-49.908626861377584
31.8493,31.8493,227.0,238.91299114997702,238.59036887200062,-35.93299114997701
31.8688,31.8688,243.0,238.93747559584577,238.61391044745594,-19.957475595845768
31.8883,31.8883,228.0,238.9619543704529,238.6374421838065,-34.9819543704529
31.9077,31.9077,245.0,238.98630233004297,238.66084348103735,-18.006302330042974
31.9272,31.9272,195.0,239.0107703280938,238.68435558963537,-68.0307703280938
31.9466,31.9466,223.0,239.03510744962247,238.70773735976886,-40.05510744962247
31.9661,31.9661,225.0,239.05956460185445,238.7312298406144,-38.07956460185444
31.9855,31.9855,229.0,239.08389112699285,238.75459208365046,-34.10389112699285
32.005,32.005,217.0,239.10833757250913,238.77806493674348,-46.128337572509125
32.0245,32.0245,223.0,239.13277874468898,238.80152795073172,-40.15277874468897
32.0439,32.0439,224.0,239.15708935606995,238.82486087802266,-39.17708935606994
32.0634,32.0634,257.0,239.1815200799965,238.8483042642584,-6.201520079996488
32.0828,32.0828,223.0,239.20582030220754,238.87161766445192,-40.22582030220754
32.1023,32.1023,208.0,239.23024051395575,238.89504142293515,-55.250240513955745
32.1217,32.1217,213.0,239.254530441042,238.9183352960313,-50.27453044104199
32.1412,32.1412,219.0,239.27894043132204,238.94173942676198,-44.29894043132204
32.1607,32.1607,221.0,239.30334537655105,238.965133718388,-42.323345376551046
32.1801,32.1801,217.0,239.32762010145908,238.98839827573897,-46.34762010145907
32.1996,32.1996,239.0,239.35201483467273,239.0117729396124,-24.37201483467273
32.219,32.219,234.0,239.3762795373402,239.03501796986603,-29.396279537340195
32.2385,32.2385,215.0,239.40066437434328,239.05837300598694,-48.420664374343275
32.2579,32.2579,229.0,239.4249192104001,239.08159850914316,-34.4449192104001
32.2774,32.2774,229.0,239.44929424478005,239.10493391751157,-34.469294244780045
32.2969,32.2969,227.0,239.47366426951572,239.12825948677522,-36.49366426951572
32.3163,32.3163,213.0,239.49790465626637,239.15145567418628,-50.51790465626637
32.3358,32.3358,242.0,239.52226498668637,239.17476161569743,-21.542264986686366
32.3552,32.3552,246.0,239.54649569834902,239.19793827601112,-17.56649569834902
32.3747,32.3747,213.0,239.57084669582215,239.22122458976975,-50.59084669582215
32.3941,32.3941,224.0,239.59506798533732,239.24438172298605,-39.61506798533732
32.4136,32.4136,213.0,239.6194095509012,239.26764840899216,-50.63940955090119
32.4331,32.4331,228.0,239.64374628297193,239.2909052558935,-35.66374628297193
