"limits",30.0009,100.0074
"peaks",43.892469995798386,50.97404683182233,75.01950488096622,91.02347741265484
"masked X","X","obs","calc","bkg","diff"
30.0009,30.0009,197.0,186.00365555710545,185.9046,-10.823655557105447
30.0204,30.0204,212.0,186.11109745383627,186.01176295975083,4.068902546163734
30.0398,30.0398,222.0,186.21786150514794,186.11824835195276,13.962138494852063
30.0593,30.0593,199.0,186.32504835845415,186.22515393353044,-9.145048358454154
30.0787,30.0787,200.0,186.43155867032647,186.33138320682966,-8.251558670326467
30.0982,30.0982,189.0,186.53849044511412,186.4380312889046,-19.35849044511412
30.1177,30.1177,240.0,186.6452942631557,186.54455024526223,31.534705736844295
30.1371,30.1371,210.0,186.75142345259525,186.65039478700984,1.4285765474047523
30.1566,30.1566,184.0,186.85797203630287,186.75665606569197,-24.67797203630287
30.176,30.176,191.0,186.96384721013428,186.86224419320465,-17.783847210134276
30.1955,30.1955,224.0,187.07014047221708,186.96824767817523,15.109859527782923
30.2149,30.2149,230.0,187.17576157354003,187.07357927706227,21.00423842645997
30.2344,30.2344,166.0,187.28179941923568,187.1793248543955,-43.10179941923568
30.2539,30.2539,209.0,187.38770917025366,187.2849411042016,-0.20770917025365776
30.2733,30.2733,195.0,187.49294868199124,187.38988737024016,-14.312948681991237
30.2928,30.2928,187.0,187.5986028782862,187.49524554532786,-22.418602878286187
30.3122,30.3122,221.0,187.70358811083432,187.59993500579375,11.476411889165682
30.3317,30.3317,224.0,187.808986707621,187.70503499749958,14.371013292379011
30.3511,30.3511,190.0,187.91371760501985,187.80946754533042,-19.733717605019855
30.3706,30.3706,212.0,188.01886045740562,187.91430924708868,2.161139542594377
30.3901,30.3901,231.0,188.1238751252438,188.01902143243868,21.056124874756186
30.4095,30.4095,220.0,188.22822399484502,188.12306808464623,9.951776005154976
30.429,30.429,217.0,188.33298286762636,188.22752182399364,6.847017132373644
30.4484,30.4484,193.0,188.43707719451,188.33131130489534,-17.25707719451001
30.4679,30.4679,214.0,188.54158014854244,188.4355064969055,3.638419851457563
30.4873,30.4873,218.0,188.6454199127792,188.53903870672417,7.534580087220796
30.5068,30.5068,201.0,188.74966689352797,188.64297525214758,-9.569666893527973
30.5263,30.5263,216.0,188.85378559354814,188.74678210513395,5.326214406451861
30.5457,30.5457,185.0,188.957242952425,188.8499278948472,-25.77724295242499
30.5652,30.5652,206.0,189.0611055819756,188.95347595615226,-4.881105581975596
30.5846,30.5846,208.0,189.16430817922304,189.0563642342792,-2.984308179223042
30.6041,30.6041,213.0,189.26791466022382,189.15965340985312,1.9120853397761763
30.6235,30.6235,205.0,189.37086244163297,189.26228408385785,-6.190862441632966
30.643,30.643,232.0,189.47421278750622,189.3653142817239,20.70578721249378
30.6625,30.6625,190.0,189.57743466384608,189.4682146238994,-21.397434663846077
30.6819,30.6819,198.0,189.6799997706635,189.570458391381,-13.4999997706635
30.7014,30.7014,184.0,189.78296540003322,189.67309962164865,-27.60296540003322
30.7208,30.7208,193.0,189.88527551008838,189.77508556256328,-18.705275510088377
30.7403,30.7403,205.0,189.98798483761877,189.87746759411476,-6.807984837618768
30.7597,30.7597,199.0,190.09003992306404,189.9791956231244,-12.91003992306404
30.7792,30.7792,186.0,190.19249290872182,190.0813183712117,-26.012492908721818
30.7987,30.7987,190.0,190.29481732858756,190.18331111305332,-22.114817328587556
30.8181,30.8181,225.0,190.39648946971798,190.2846517869577,12.783510530282022
30.8376,30.8376,185.0,190.49855746905487,190.38638512196417,-27.318557469054873
30.857,30.857,218.0,190.5999744577342,190.48746767946852,5.580025542265808
30.8765,30.8765,214.0,190.70178601442188,190.58894152802904,1.4782139855781153
30.8959,30.8959,215.0,190.8029478331509,190.68976589094984,2.37705216684909
30.9154,30.9154,196.0,190.90450282171764,190.79098017550137,-16.724502821717643
30.9349,30.9349,198.0,191.00592922473382,190.89206431587402,-14.82592922473382
30.9543,30.9543,200.0,191.10670787341928,190.99250091271404,-12.926707873419282
30.9738,30.9738,232.0,191.2078777266573,191.09332537647015,18.9721222733427
30.9932,30.9932,189.0,191.30840109219812,191.19350359207235,-24.128401092198125
31.0127,31.0127,157.0,191.40931431681318,191.29406830675492,-56.22931431681318
31.0321,31.0321,199.0,191.50958238243328,191.39398807004673,-14.32958238243328
31.0516,31.0516,184.0,191.61023892077924,191.494292965234,-29.43023892077924
31.0711,31.0711,205.0,191.710766869555,191.59446759085415,-8.530766869554988
31.0905,31.0905,220.0,191.8106515703928,191.69399921446745,6.369348429607207
31.11,31.11,198.0,191.91092280764354,191.79391391868253,-15.730922807643545
31.1294,31.1294,202.0,192.0105521322617,191.89318692106312,-11.830552132261694
31.1489,31.1489,214.0,192.11056665013072,191.99284163852604,0.06943334986927852
31.1683,31.1683,189.0,192.2099405504936,192.0918559556687,-25.0299405504936
31.1878,31.1878,200.0,192.30969833995323,192.1912506230553,-14.12969833995323
31.2073,31.2073,181.0,192.4093274237287,192.29051490795476,-33.22932742372871
31.2267,31.2267,204.0,192.5083178815676,192.38914074897048,-10.328317881567592
31.2462,31.2462,226.0,192.60769018078884,192.48814489251575,11.572309819211164
31.2656,31.2656,200.0,192.70642516527823,192.5865118969942,-14.526425165278233
31.2851,31.2851,171.0,192.80554070151243,192.68525584090472,-43.62554070151243
31.3045,31.3045,226.0,192.9040201971918,192.7833639518646,11.275979802808187
31.324,31.324,226.0,193.00287898762846,192.8818476398699,11.177121012371536
31.3435,31.3435,181.0,193.10160897185216,192.98020084485927,-33.92160897185216
31.3629,31.3629,185.0,193.19970491072638,193.0779201801642,-30.019704910726382
31.3824,31.3824,212.0,193.2981781099618,193.17601304853682,-3.1181781099618107
31.4018,31.4018,185.0,193.3960185635791,193.2734733565381,-30.216018563579105
31.4213,31.4213,187.0,193.494234971283,193.37130583703592,-28.314234971282993
31.4407,31.4407,239.0,193.59181994074498,193.46850706773256,23.588180059255016
31.4602,31.4602,200.0,193.6897794789117,193.5660791110952,-15.509779478911703
31.4797,31.4797,192.0,193.78761029192881,193.66352058322795,-23.607610291928815
31.4991,31.4991,180.0,193.88481165254709,193.76033277543303,-35.704811652547086
31.5186,31.5186,220.0,193.98238568870556,193.85751374021967,4.197614311294437
31.538,31.538,162.0,194.07933154141222,193.9540667387404,-53.89933154141222
31.5575,31.5575,197.0,194.17664872449376,194.05098715190175,-18.99664872449376
31.5769,31.5769,204.0,194.27333909968445,194.14728091367385,-12.09333909968445
31.5964,31.5964,185.0,194.37039940655845,194.24394073291583,-31.19039940655845
31.6159,31.6159,197.0,194.46733107200214,194.3404699049517,-19.28733107200214
31.6353,31.6353,219.0,194.56363785471268,194.43637440185861,2.6163621452873187
31.6548,31.6548,182.0,194.6603126959597,194.53264292019912,-34.480312695959704
31.6742,31.6742,209.0,194.75636401385793,194.62828808127418,-7.576364013857933
31.6937,31.6937,189.0,194.85278202869722,194.72429590857524,-27.67278202869722
31.7131,31.7131,220.0,194.94857786158187,194.81968169764764,3.2314221384181323
31.7326,31.7326,195.0,195.04473911684696,194.91542879853768,-21.864739116846955
31.7521,31.7521,209.0,195.14077168922393,195.0110451884064,-7.960771689223925
31.7715,31.7715,187.0,195.23618402694063,195.10604152247384,-30.056184026940635
31.791,31.791,205.0,195.33195980630637,195.20139713652495,-12.151959806306373
31.8104,31.8104,180.0,195.42711676555453,195.29613401669405,-37.24711676555453
31.8299,31.8299,209.0,195.52263579811003,195.39122882447467,-8.342635798110031
31.8493,31.8493,198.0,195.65038143828187,195.48570622142427,-19.47038143828187
31.8688,31.8688,220.0,195.74571073493289,195.58054019444165,2.4342892650671146
31.8883,31.8883,167.0,195.84091151559383,195.6752434047069,-50.66091151559383
31.9077,31.9077,204.0,195.9354966283811,195.76933119251717,-13.755496628381088
31.9272,31.9272,190.0,196.0304411804154,195.86377352891614,-27.85044118041541
31.9466,31.9466,234.0,196.1247714095694,195.9576017686901,16.055228590430595
31.9661,31.9661,186.0,196.2194597247268,196.05178320761752,-32.03945972472679
31.9855,31.9855,234.0,196.32995812953612,196.14535187684024,15.850041870463876
32.005,32.005,217.0,196.42442371347516,196.2392723966385,-1.2444237134751646
32.0245,32.0245,179.0,196.51876103024196,196.3330621139612,-39.33876103024196
32.0439,32.0439,188.0,196.61248723774125,196.4262410556866,-30.43248723774125
32.0634,32.0634,192.0,196.70656869260586,196.51976982501503,-26.526568692605856
32.0828,32.0828,197.0,196.80004031479217,196.61268914834218,-21.62004031479217
32.1023,32.1023,197.0,196.89386586730612,196.70595695287489,-21.71386586730612
32.1217,32.1217,200.0,196.9870829939474,196.79861664205166,-18.80708299394741
32.1412,32.1412,198.0,197.08065270730884,196.89162346692225,-20.900652707308844
32.1607,32.1607,183.0,197.17409421888283,196.9844994615246,-35.99409421888283
32.1801,32.1801,195.0,197.2669293067258,197.07676934039384,-24.086929306725814
32.1996,32.1996,212.0,197.36011510289075,197.16938433664123,-7.1801151028907455
32.219,32.219,209.0,197.45269580350566,197.26139455037415,-10.272695803505663
32.2385,32.2385,190.0,197.54562589675913,197.35374853822523,-29.365625896759134
32.2579,32.2579,193.0,197.6379522382107,197.44549907778872,-26.457952238210687
32.2774,32.2774,203.0,197.73062673418562,197.53759204912484,-16.55062673418562
32.2969,32.2969,201.0,197.82317312999433,197.6295541742538,-18.64317312999433
32.3163,32.3163,212.0,197.91511780840517,197.72091485601842,-7.735117808405171
32.3358,32.3358,185.0,198.00740861554775,197.8126159560461,-34.827408615547746
32.3552,32.3552,193.0,198.09909913197424,197.90371694940765,-26.919099131974242
32.3747,32.3747,191.0,198.19113451295735,197.99515702100882,-29.011134512957348
32.3941,32.3941,205.0,198.2825708633799,198.08599832360989,-15.102570863379903
32.4136,32.4136,208.0,198.37435092366846,198.1771773653698,-12.194350923668459
32.4331,32.4331,214.0,198.466002924586,198.268225556761,-6.286002924586008
32.4525,32.4525,189.0,198.5570579587558,198.35867698916192,-31.377057958755792
32.472,32.472,183.0,198.6484547033245,198.44946415216643,-37.46845470332449
32.4914,32.4914,164.0,198.73925584224898,198.53965589621652,-56.55925584224898
32.5109,32.5109,195.0,198.83039740297409,198.63018203418167,-25.650397402974086
