"limits",30.0009,100.0074
"masked X","X","obs","calc","bkg","diff"
30.0009,30.0009,154.0,150.14389552534985,149.8808,-25.42389552534985
30.0204,30.0204,148.0,150.20790014391318,149.9441219211078,-31.48790014391318
30.0398,30.0398,152.0,150.2717001678837,150.00723990636436,-27.551700167883695
30.0593,30.0593,156.0,150.33595258425578,150.07080410373305,-23.61595258425578
30.0787,30.0787,163.0,150.39999799813822,150.13416202443779,-16.67999799813822
30.0982,30.0982,194.0,150.46449618350812,150.19796629171003,14.255503816491881
30.1177,30.1177,156.0,150.52911669757495,150.26189007442449,-23.80911669757495
30.1371,30.1371,157.0,150.59352670326768,150.3256040938479,-22.873526703267686
30.1566,30.1566,167.0,150.65838956682973,150.389764646891,-12.938389566829727
30.176,30.176,152.0,150.72303971733464,150.45371313254282,-28.003039717334644
30.1955,30.1955,145.0,150.78814302631716,150.5181082665934,-35.06814302631716
30.2149,30.2149,132.0,150.85303118626402,150.58228904376156,-48.13303118626402
30.2344,30.2344,160.0,150.91837271496487,150.64691657629476,-20.198372714964876
30.2539,30.2539,182.0,150.9838328195525,150.71165978765796,1.7361671804474952
30.2733,30.2733,152.0,151.04907440265626,150.7761852323036,-28.32907440265626
30.2928,30.2928,150.0,151.1147695844358,150.84115757829943,-30.394769584435807
30.3122,30.3122,159.0,151.18024397464808,150.90590990445736,-21.46024397464808
30.3317,30.3317,152.0,151.2461721454299,150.97110921952438,-28.52617214542991
30.3511,30.3511,161.0,151.3118772392782,151.03608627610598,-19.591877239278205
30.3706,30.3706,145.0,151.37803619247902,151.10151040144987,-35.65803619247902
30.3901,30.3901,165.0,151.4443101401856,151.16704641068793,-15.724310140185594
30.4095,30.4095,153.0,151.510357727314,151.23235682768058,-27.79035772731399
30.429,30.429,142.0,151.57685941946264,151.2981144189173,-38.85685941946264
30.4484,30.4484,159.0,151.6431325485774,151.36364421529174,-21.9231325485774
30.4679,30.4679,167.0,151.70985982487346,151.42962124662347,-13.989859824873463
30.4873,30.4873,166.0,151.7763564729563,151.49536829481292,-15.05635647295631
30.5068,30.5068,172.0,151.84330735858055,151.56156263107417,-9.123307358580547
30.5263,30.5263,151.0,151.91036963169412,151.62786509779082,-30.190369631694125
30.5457,30.5457,165.0,151.97719791029468,151.69393432296644,-16.25719791029468
30.5652,30.5652,153.0,152.04448067634945,151.76045090175302,-28.324480676349452
30.5846,30.5846,185.0,152.1115273187309,151.82673208641015,3.6084726812690917
30.6041,30.6041,150.0,152.1790284632382,151.89346065891877,-31.459028463238212
30.6235,30.6235,170.0,152.24629147037243,151.95995169891117,-11.526291470372428
30.643,30.643,162.0,152.31400910186272,152.02689015350302,-19.594009101862724
30.6625,30.6625,169.0,152.3818345547818,152.09393302642988,-12.661834554781791
30.6819,30.6819,173.0,152.44941848910867,152.16073518309196,-8.729418489108667
30.7014,30.7014,149.0,152.51745726354835,152.2279847805081,-32.79745726354835
30.7208,30.7208,180.0,152.5852524983775,152.29499155862646,-1.8652524983775152
30.7403,30.7403,183.0,152.6535026308854,152.36244578563787,1.066497369114586
30.7597,30.7597,157.0,152.72150713506167,152.42965510438535,-25.001507135061672
30.7792,30.7792,137.0,152.78996669966398,152.49731187277794,-45.06996669966398
30.7987,30.7987,171.0,152.85853039223113,152.5650693885244,-11.138530392231132
30.8181,30.8181,160.0,152.92684534547382,152.63257888620026,-22.206845345473823
30.8376,30.8376,172.0,152.9956154070841,152.70053582084648,-10.275615407084103
30.857,30.857,148.0,153.0641346860662,152.76824268347337,-34.34413468606621
30.8765,30.8765,147.0,153.13310915954503,152.83639696547715,-35.41310915954503
30.8959,30.8959,153.0,153.2018307699854,152.90429913544557,-29.481830769985407
30.9154,30.9154,154.0,153.27100755837088,152.97264869991562,-28.551007558370884
30.9349,30.9349,164.0,153.34028510319445,153.04109538171883,-18.620285103194448
30.9543,30.9543,167.0,153.40930684621762,153.10928691491617,-15.689306846217619
30.9738,30.9738,143.0,153.47878377062057,153.1779257916637,-39.75878377062057
30.9932,30.9932,152.0,153.54800291563268,153.24630751447148,-30.82800291563268
31.0127,31.0127,164.0,153.61767726327636,153.31513653787107,-18.897677263276364
31.0321,31.0321,165.0,153.6870919086706,153.3837064157961,-17.967091908670596
31.0516,31.0516,187.0,153.75696177068227,153.45272354417727,3.963038229317732
31.0711,31.0711,161.0,153.82692901584764,153.52183420065217,-22.10692901584764
31.0905,31.0905,178.0,153.8966334635075,153.59068274761535,-5.1766334635075
31.11,31.11,168.0,153.9667932394399,153.6599784563562,-15.24679323943991
31.1294,31.1294,142.0,154.03668830654024,153.72901009839885,-41.31668830654024
31.1489,31.1489,153.0,154.10703867018765,153.7984888342614,-30.38703867018765
31.1683,31.1683,162.0,154.17712250838423,153.86770155990504,-21.45712250838423
31.1878,31.1878,159.0,154.24766165559936,153.9373613043376,-24.52766165559936
31.2073,31.2073,146.0,154.31829475140307,154.00711102822694,-37.598294751403074
31.2267,31.2267,181.0,154.38865824898014,154.0765918496935,-2.6686582489801367
31.2462,31.2462,154.0,154.459477130963,154.14651956409048,-29.739477130962996
31.2656,31.2656,145.0,154.5300245479254,154.2161764665599,-38.810024547925394
31.2851,31.2851,152.0,154.60102740396937,154.28628016936636,-31.88102740396937
31.3045,31.3045,139.0,154.67175689369495,154.35611116427341,-44.95175689369495
31.324,31.324,164.0,154.74294181338792,154.42638885995447,-20.022941813387916
31.3435,31.3435,160.0,154.81421722571335,154.49675302687874,-24.09421722571335
31.3629,31.3629,157.0,154.88521656057443,154.56684166483558,-27.165216560574436
31.3824,31.3824,148.0,154.95667113826704,154.63737684107235,-36.23667113826704
31.4018,31.4018,161.0,155.02784773741666,154.70763462605473,-23.307847737416665
31.4213,31.4213,162.0,155.09947974543505,154.7783388324497,-22.37947974543505
31.4407,31.4407,151.0,155.1708318323952,154.84876379870423,-33.45083183239521
31.4602,31.4602,163.0,155.24263923142811,154.9196350626375,-21.522639231428116
31.4797,31.4797,158.0,155.31453393219869,154.990589329845,-26.594533932198686
31.4991,31.4991,163.0,155.38614608819347,155.06126160628526,-21.66614608819347
31.5186,31.5186,151.0,155.45821341364865,155.13237998181603,-33.73821341364865
31.538,31.538,122.0,155.52999634560766,155.20321455104832,-62.80999634560766
31.5575,31.5575,156.0,155.60223454637685,155.27449507859026,-28.88223454637685
31.5769,31.5769,156.0,155.67418650574143,155.34548999757175,-28.954186505741433
31.5964,31.5964,122.0,155.74659354765112,155.4169307273179,-63.02659354765112
31.6159,31.6159,155.0,155.81908473150926,155.4884510324347,-30.099084731509265
31.6353,31.6353,137.0,155.89128706667807,155.55968304811358,-48.171287066678076
31.6548,31.6548,180.0,155.96394445023682,155.63136064041353,-5.243944450236825
31.6742,31.6742,141.0,156.03631121604994,155.70274817403993,-44.31631121604994
31.6937,31.6937,145.0,156.10913296268154,155.77458111995102,-40.38913296268154
31.7131,31.7131,141.0,156.18166233275613,155.8461222510911,-44.461662332756134
31.7326,31.7326,174.0,156.25464671985304,155.91810862351724,-11.534646719853043
31.7521,31.7521,166.0,156.32771192504651,155.99017118329718,-19.607711925046516
31.7715,31.7715,162.0,156.40048211804992,156.06193931648878,-23.680482118049923
31.791,31.791,158.0,156.4737071673496,156.13415242180375,-27.753707167349603
31.8104,31.8104,160.0,156.5466355342171,156.206069377132,-25.826635534217104
31.8299,31.8299,175.0,156.62001868792171,156.27843111704814,-10.900018687921715
31.8493,31.8493,156.0,156.69310345779502,156.35049499658666,-29.97310345779502
31.8688,31.8688,161.0,156.76664295376662,156.42300346661688,-25.04664295376662
31.8883,31.8883,164.0,156.84026006369047,156.49558477569153,-22.120260063690466
31.9077,31.9077,162.0,156.9135763733722,156.56786568094515,-24.193576373372196
31.9272,31.9272,139.0,156.98734707762048,156.6405908730418,-47.267347077620485
