"limits",30.0009,100.0074
"masked X","X","obs","calc","bkg","diff"
30.0009,30.0009,112.0,99.96916256927425,99.8887216826843,-1.349162569274247
30.0204,30.0204,100.0,100.0169778237563,99.93631678844918,-13.396977823756307
30.0398,30.0398,116.0,100.06457709487253,99.98369614783334,2.5554229051274664
30.0593,30.0593,129.0,100.11229669953664,100.03119377207301,15.507703300463357
30.0787,30.0787,99.0,100.15980199353716,100.0784773042999,-14.539801993537159
30.0982,30.0982,98.0,100.20742950672143,100.12588098203176,-15.587429506721426
30.1177,30.1177,121.0,100.267000096741,100.17323936852141,7.352999903258999
30.1371,30.1371,101.0,100.31439512866562,100.22038761091765,-12.694395128665624
30.1566,30.1566,95.0,100.36191514172879,100.26765854827455,-18.74191514172879
30.176,30.176,114.0,100.40922817944494,100.31472274859298,0.2107718205550615
30.1955,30.1955,103.0,100.4566677126199,100.36191117715887,-10.836667712619905
30.2149,30.2149,105.0,100.50390277255028,100.40889539249007,-8.883902772550277
30.2344,30.2344,110.0,100.55126643169707,100.45600585536491,-3.9312664316970736
30.2539,30.2539,119.0,100.60458823908604,100.50307905220856,5.015411760913958
30.2733,30.2733,101.0,100.65172710069756,100.54995283548537,-13.031727100697557
30.2928,30.2928,129.0,100.69899916737845,100.59695739177477,14.921000832621553
30.3122,30.3122,121.0,100.74607673887581,100.64376770619367,6.873923261124185
30.3317,30.3317,97.0,100.79329198568199,100.69071323851753,-17.173291985681992
30.3511,30.3511,109.0,100.8403195879326,100.7374714152102,-5.2203195879325985
30.3706,30.3706,95.0,100.88749120497478,100.78437108858022,-19.26749120497478
30.3901,30.3901,116.0,100.93464584893601,100.83125269693265,1.6853541510639847
30.4095,30.4095,119.0,100.98162295983225,100.87795704790726,4.638377040167748
30.429,30.429,99.0,101.02875303673119,100.92481183710362,-15.40875303673119
30.4484,30.4484,96.0,101.07571392880195,100.97149772261936,-18.45571392880195
30.4679,30.4679,115.0,101.1228356490251,101.0183418678995,0.4971643509748933
30.4873,30.4873,104.0,101.16979604234318,101.06502498072314,-10.54979604234318
30.5068,30.5068,112.0,101.21692421625582,101.11187329283013,-2.59692421625582
30.5263,30.5263,104.0,101.26406152811295,101.15872958400006,-10.644061528112948
30.5457,30.5457,121.0,101.31105079352206,101.20543811243171,6.308949206477942
30.5652,30.5652,94.0,101.35822001349594,101.25232395911227,-20.73822001349594
30.5846,30.5846,104.0,101.40525141206862,101.29907227691844,-10.785251412068623
30.6041,30.6041,84.0,101.45247218630855,101.34600732859246,-30.832472186308557
30.6235,30.6235,144.0,101.4995647903707,101.39281449916973,29.1204352096293
30.643,30.643,99.0,101.54685401101524,101.43981560664518,-15.926854011015243
30.6625,30.6625,107.0,101.59418211110828,101.48685437559466,-7.9741821111082825
30.6819,30.6819,111.0,101.64139192225288,101.53377514722432,-4.02139192225288
30.7014,30.7014,100.0,101.68880653116535,101.58089798827558,-15.068806531165356
30.7208,30.7208,96.0,101.73610960611529,101.62790957689766,-19.116109606115295
30.7403,30.7403,93.0,101.78362326901183,101.67512904172725,-22.16362326901183
30.7597,30.7597,109.0,101.83103130292672,101.72224314477508,-6.211031302926719
30.7792,30.7792,101.0,101.87865348080557,101.76956862250778,-14.258653480805568
30.7987,30.7987,124.0,101.92633249065939,101.81694964877573,8.693667509340608
30.8181,30.8181,97.0,101.97391166119803,101.86423113723016,-18.353911661198033
30.8376,30.8376,105.0,102.02171017492786,101.91172919834332,-10.401710174927862
30.857,30.857,114.0,102.06941388483094,101.95913266481523,-1.4494138848309372
30.8765,30.8765,110.0,102.11734037345317,102.00675610384074,-5.497340373453175
30.8959,30.8959,98.0,102.16517695473632,102.05428992291625,-17.545176954736327
30.9154,30.9154,109.0,102.2132412573892,102.10204858178767,-6.5932412573892005
30.9349,30.9349,105.0,102.26137815660293,102.14987852060956,-10.641378156602931
30.9543,30.9543,111.0,102.30943374140926,102.1976274372702,-4.689433741409266
30.9738,30.9738,113.0,102.35772391738911,102.2456080548765,-2.7377239173891095
30.9932,30.9932,107.0,102.4059389570542,102.29351376228607,-8.785938957054205
31.0127,31.0127,86.0,102.45439461604185,102.34165716785223,-29.834394616041855
31.0321,31.0321,88.0,102.50278271930954,102.38973328757737,-27.88278271930954
31.0516,31.0516,118.0,102.55141693964214,102.43805257271806,2.068583060357861
31.0711,31.0711,111.0,102.60014272558257,102.48646205438787,-4.9801427255825725
31.0905,31.0905,112.0,102.64880726069212,102.53481055724559,-4.028807260692124
31.11,31.11,96.0,102.6977228256524,102.58340705178088,-20.07772282565241
31.1294,31.1294,102.0,102.74658281152496,102.63194824926681,-14.12658281152496
31.1489,31.1489,88.0,102.79569833345015,102.68074193891105,-28.17569833345015
31.1683,31.1683,103.0,102.84476296859742,102.72948499477346,-13.224762968597423
31.1878,31.1878,115.0,102.89408543698835,102.77848283559719,-1.274085436988349
31.2073,31.2073,105.0,102.94351237023776,102.82758370262847,-11.323512370237756
31.2267,31.2267,116.0,102.99289192167794,102.8766374568579,-0.3728919216779385
31.2462,31.2462,93.0,103.04253185229858,102.92594844667575,-23.422531852298583
31.2656,31.2656,103.0,103.09212807675941,102.97521600650593,-13.47212807675941
31.2851,31.2851,101.0,103.14198720654294,103.02474333555575,-15.521987206542937
31.3045,31.3045,97.0,103.19180521879225,103.07422977924351,-19.571805218792257
31.324,31.324,107.0,103.2418872500044,103.12397707492987,-9.621887250004397
31.3435,31.3435,108.0,103.29208105746144,103.17383462842858,-8.672081057461446
31.3629,31.3629,127.0,103.34223532441162,103.22365294092108,10.277764675588381
31.3824,31.3824,105.0,103.39265353025792,103.2737319420388,-11.772653530257918
31.4018,31.4018,110.0,103.44303417818097,103.32377362991876,-6.823034178180967
31.4213,31.4213,123.0,103.49368042212106,103.37407765669371,6.12631957787894
31.4407,31.4407,121.0,103.54429200684264,103.42434726454039,4.07570799315736
31.4602,31.4602,132.0,103.59517235058377,103.47488230884213,15.024827649416233
31.4797,31.4797,111.0,103.64617387330634,103.52553700898832,-6.026173873306339
31.4991,31.4991,107.0,103.69715041638791,103.5761669504317,-10.077150416387914
31.5186,31.5186,99.0,103.74840546161391,103.62707209532628,-18.128405461613916
31.538,31.538,99.0,103.79964384540936,103.67796077969412,-18.179643845409366
31.5575,31.5575,99.0,103.85116777175776,103.72913160524637,-18.23116777175776
31.5769,31.5769,89.0,103.90268201000184,103.780293008646,-28.282682010001842
31.5964,31.5964,102.0,103.95448697271931,103.83174169749117,-15.33448697271931
31.6159,31.6159,116.0,104.0064351279397,103.8833319752912,-1.3864351279396967
31.6353,31.6353,101.0,104.05837971497219,103.93491888727,-16.438379714972193
31.6548,31.6548,90.0,104.11061887412825,103.9867969299978,-27.490618874128252
31.6742,31.6742,95.0,104.16285838455163,104.03867553839439,-22.54285838455163
31.6937,31.6937,108.0,104.2153940958184,104.09084683856338,-9.595394095818397
31.7131,31.7131,113.0,104.26793095722307,104.14301948400005,-4.647930957223073
