"limits",30.0009,100.0074
"masked X","X","obs","calc","bkg","diff"
30.0009,30.0009,85.0,89.26698269802112,89.15536503067722,-15.326982698021125
30.0204,30.0204,101.0,89.30019542973437,89.18829371072498,0.6398045702656265
30.0398,30.0398,97.0,89.33340779894282,89.22122237959212,-3.3934077989428157
30.0593,30.0593,116.0,89.36662281190915,89.25415105635072,15.573377188090847
30.0787,30.0787,109.0,89.39983750140979,89.28707978071526,8.540162498590208
30.0982,30.0982,106.0,89.43305491154581,89.32000860324298,5.50694508845419
30.1177,30.1177,96.0,89.46627366257694,89.35293760736118,-4.526273662576939
30.1371,30.1371,97.0,89.49949237022865,89.38586691281792,-3.559492370228652
30.1566,30.1566,88.0,89.5327142096385,89.41879665707515,-12.5927142096385
30.176,30.176,100.0,89.56593628639303,89.4517269978147,-0.625936286393026
30.1955,30.1955,99.0,89.59916178081103,89.48465808890263,-1.659161780811031
30.2149,30.2149,99.0,89.63238789331258,89.51759011165836,-1.692387893312583
30.2344,30.2344,91.0,89.66561783123461,89.55052327239572,-9.725617831234613
30.2539,30.2539,78.0,89.69885038522388,89.58345780234261,-22.75885038522388
30.2733,30.2733,87.0,89.73208417061508,89.61639393662074,-13.792084170615082
30.2928,30.2928,102.0,89.76532252127387,89.64933187917553,1.1746774787261263
30.3122,30.3122,109.0,89.79856255149555,89.68227182691403,8.14143744850445
30.3317,30.3317,84.0,89.8318075517313,89.71521400809523,-16.891807551731304
30.3511,30.3511,89.0,89.86505474697817,89.74815868469184,-11.925054746978175
30.3706,30.3706,82.0,89.89830749871102,89.78110610329708,-18.958307498711022
30.3901,30.3901,97.0,89.93156447765564,89.81405650849227,-3.9915644776556416
30.4095,30.4095,99.0,89.96482431298327,89.84701012391794,-2.0248243129832684
30.429,30.429,95.0,89.99809042294233,89.87996719232959,-6.0580904229423265
30.4484,30.4484,94.0,90.03135996492782,89.912927980588,-7.0913599649278165
30.4679,30.4679,101.0,90.06463635545755,89.94589276925021,-0.12463635545755203
30.4873,30.4873,103.0,90.09791671244285,89.97886184982495,1.8420832875571467
30.5068,30.5068,96.0,90.13120460064664,90.0118355424274,-5.191204600646641
30.5263,30.5263,114.0,90.16449870967865,90.04481419979014,12.775501290321346
30.5457,30.5457,92.0,90.19779783466147,90.07779819063336,-9.257797834661472
30.5652,30.5652,86.0,90.23110562353162,90.11078790298407,-15.29110562353162
30.5846,30.5846,99.0,90.26441918747867,90.14378373003134,-2.324419187478666
30.6041,30.6041,101.0,90.2977422555533,90.17678605390364,-0.35774225555330297
30.6235,30.6235,89.0,90.33107186360026,90.20979528009805,-12.391071863600258
30.643,30.643,97.0,90.36441179765939,90.24281184219662,-4.424411797659387
30.6625,30.6625,80.0,90.3977608410106,90.27583617052784,-21.457760841010597
30.6819,30.6819,94.0,90.43111778306864,90.30886871342133,-7.491117783068644
30.7014,30.7014,99.0,90.46448642616666,90.34190989155029,-2.524486426166659
30.7208,30.7208,94.0,90.49786377927542,90.37496013548386,-7.55786377927542
30.7403,30.7403,91.0,90.53125372404233,90.40801989866411,-10.59125372404233
30.7597,30.7597,90.0,90.56465336547235,90.4410896442526,-11.624653365472353
30.7792,30.7792,87.0,90.59806646438322,90.47416983700182,-14.658066464383223
30.7987,30.7987,94.0,90.63149196797649,90.50726094047837,-7.6914919679764875
30.8181,30.8181,96.0,90.6649284681637,90.5403634089018,-5.724928468163695
30.8376,30.8376,107.0,90.69837997137233,90.57347770585785,5.241620028627667
30.857,30.857,77.0,90.73184343436355,90.60660430952693,-24.791843434363557
30.8765,30.8765,99.0,90.76532287081521,90.63974373439063,-2.825322870815212
30.8959,30.8959,91.0,90.79881535071925,90.67289645830853,-10.858815350719253
30.9154,30.9154,101.0,90.83232477926212,90.70606298126307,-0.8923247792621236
30.9349,30.9349,85.0,90.86585002264998,90.73924380411582,-16.925850022649982
30.9543,30.9543,92.0,90.89938974791929,90.772439454588,-9.959389747919287
30.9738,30.9738,89.0,90.93294805140931,90.80565044495664,-12.992948051409313
30.9932,30.9932,102.0,90.96652190464172,90.83887729079689,-0.026521904641723992
31.0127,31.0127,101.0,91.00011542103711,90.87212050282731,-1.0601154210371089
31.0321,31.0321,100.0,91.03372552685086,90.90538062061165,-2.093725526850859
31.0516,31.0516,88.0,91.06735644983812,90.93865821018136,-14.127356449838116
31.0711,31.0711,82.0,91.10100692545738,90.97195386152879,-20.161006925457386
31.0905,31.0905,90.0,91.1346757559009,91.0052681567406,-12.194675755900901
31.11,31.11,75.0,91.16836712229049,91.03860165375687,-27.228367122290493
31.1294,31.1294,90.0,91.202077951636,91.07195490781434,-12.262077951636
31.1489,31.1489,96.0,91.23581250654708,91.10532843098156,-6.295812506547078
31.1683,31.1683,92.0,91.26956747621423,91.13872273244431,-10.329567476214235
31.1878,31.1878,100.0,91.30334719899265,91.17213833448736,-2.3633471989926544
31.2073,31.2073,84.0,91.33715031627622,91.20557576170995,-18.397150316276225
31.2267,31.2267,95.0,91.37097554545426,91.23903556200905,-7.430975545454258
31.2462,31.2462,96.0,91.40482714226906,91.27251826389003,-6.464827142269057
31.2656,31.2656,81.0,91.4387018835594,91.30602440594049,-21.498701883559406
31.2851,31.2851,88.0,91.47260413863269,91.33955453940315,-14.53260413863269
31.3045,31.3045,90.0,91.50653064610162,91.37310918778311,-12.566530646101624
31.324,31.324,117.0,91.54048566118198,91.40668886560074,14.399514338818024
31.3435,31.3435,87.0,91.57446795280816,91.44029408368353,-15.634467952808164
31.3629,31.3629,85.0,91.60847596847336,91.4739253668564,-17.66847596847336
31.3824,31.3824,102.0,91.64251423190697,91.5075832279968,-0.7025142319069726
31.4018,31.4018,97.0,91.67657922932189,91.5412681625602,-5.7365792293218885
31.4213,31.4213,85.0,91.71067546199198,91.57498069332574,-17.770675461991985
31.4407,31.4407,89.0,91.74479960463567,91.60872135766476,-13.804799604635674
31.4602,31.4602,103.0,91.77895603652921,91.64249067525456,0.16104396347079053
31.4797,31.4797,92.0,91.81314340054907,91.67628915875471,-10.873143400549067
31.4991,31.4991,96.0,91.84736017192675,91.7101173501032,-6.907360171926753
31.5186,31.5186,101.0,91.88161092645124,91.74397579210809,-1.9416109264512453
31.538,31.538,82.0,91.91589221877553,91.77786503906918,-20.975892218775527
31.5575,31.5575,87.0,91.95020868168865,91.81178566964557,-16.010208681688653
31.5769,31.5769,86.0,91.98455679352541,91.8457382361804,-17.044556793525416
31.5964,31.5964,95.0,92.01894125869457,91.87972327806916,-8.078941258694568
31.6159,31.6159,88.0,92.05336046155082,91.91374131897652,-15.113360461550824
31.6353,31.6353,92.0,92.08781299572476,91.94779289093786,-11.147812995724761
31.6548,31.6548,72.0,92.12230337541033,91.98187851545846,-31.182303375410328
31.6742,31.6742,97.0,92.15682809375342,92.01599871418397,-6.216828093753419
31.6937,31.6937,96.0,92.1913918437318,92.05015395497824,-7.251391843731794
31.7131,31.7131,96.0,92.22599080365735,92.08434471904098,-7.285990803657354
31.7326,31.7326,97.0,92.26062974877698,92.11857149815786,-6.3206297487769785
31.7521,31.7521,78.0,92.29530707368097,92.1528347946093,-25.355307073680976
31.7715,31.7715,94.0,92.33002122200287,92.18713512373952,-9.39002122200287
31.791,31.791,83.0,92.36477688602018,92.22147296280045,-20.424776886020183
31.8104,31.8104,90.0,92.3995702872321,92.25584879391276,-13.459570287232095
31.8299,31.8299,114.0,92.43440624448702,92.29026307437887,10.505593755512978
31.8493,31.8493,86.0,92.46928082641075,92.32471625543319,-17.529280826410755
31.8688,31.8688,78.0,92.50419884721742,92.35920881545466,-25.564198847217426
31.8883,31.8883,87.0,92.53915875729038,92.39374121580195,-16.599158757290382
31.9077,31.9077,83.0,92.57415866291134,92.42831387918598,-20.634158662911346
31.9272,31.9272,93.0,92.60920344403064,92.4629272138034,-10.669203444030641
31.9466,31.9466,95.0,92.6442890196906,92.49758160247588,-8.704289019690604
31.9661,31.9661,80.0,92.67942024643062,92.53227742946845,-23.739420246430626
31.9855,31.9855,88.0,92.71459309740099,92.56701508576336,-15.774593097400993
32.005,32.005,91.0,92.74981238628358,92.60179492861255,-12.80981238628358
32.0245,32.0245,86.0,92.78507631908612,92.63661730297922,-17.845076319086118
32.0439,32.0439,102.0,92.82038283212911,92.67148254951844,-1.8803828321291132
32.0634,32.0634,93.0,92.85573687683807,92.70639099102536,-10.915736876838066
32.0828,32.0828,78.0,92.8911342791081,92.74134297483252,-25.951134279108103
32.1023,32.1023,96.0,92.9265799499752,92.77633884906174,-7.986579949975207
32.1217,32.1217,95.0,92.96206960946223,92.81137892215851,-9.022069609462234
32.1412,32.1412,94.0,92.99760827272301,92.84646351121552,-10.057608272723014
32.1607,32.1607,79.0,93.03319386243126,92.88159293920177,-25.093193862431264
32.1801,32.1801,101.0,93.06882444354903,92.91676753218563,-3.1288244435490338
32.1996,32.1996,91.0,93.10450493116977,92.95198757887322,-13.164504931169771
32.219,32.219,96.0,93.14023104355948,92.98725338939057,-8.200231043559482
32.2385,32.2385,97.0,93.17600778715773,93.0225652686134,-7.23600778715773
32.2579,32.2579,75.0,93.21183068310002,93.05792352950053,-29.27183068310002
32.2774,32.2774,95.0,93.24770492420448,93.09332849567029,-9.307704924204485
32.2969,32.2969,99.0,93.28362835251858,93.12878044213777,-5.343628352518577
32.3163,32.3163,89.0,93.3195989104985,93.1642796490385,-15.3795989104985
32.3358,32.3358,90.0,93.35562168571109,93.19982641218806,-14.415621685711086
32.3552,32.3552,110.0,93.39169211435556,93.23542101619744,5.5483078856444354
32.3747,32.3747,79.0,93.42781545133751,93.27106373706913,-25.48781545133751
32.3941,32.3941,98.0,93.46398701439784,93.30675488712309,-6.523987014397845
32.4136,32.4136,86.0,93.50021203726624,93.34249474026882,-18.56021203726624
32.4331,32.4331,89.0,93.5364884483356,93.37828358297995,-15.596488448335604
32.4525,32.4525,93.0,93.57281392158004,93.41412168196993,-11.632813921580036
32.472,32.472,77.0,93.60919382997353,93.45000929217161,-27.669193829973537
32.4914,32.4914,97.0,93.64562332474203,93.48594666740442,-7.705623324742033
32.5109,32.5109,84.0,93.68210769578333,93.52193401721233,-20.742107695783332
32.5303,32.5303,96.0,93.71864215388072,93.55797156056242,-8.778642153880723
32.5498,32.5498,87.0,93.75523195996541,93.59405949079472,-17.815231959965416
32.5692,32.5692,106.0,93.79187221518511,93.63019800780467,1.148127784814891
32.5887,32.5887,93.0,93.82856836141349,93.66638729374223,-11.888568361413489
32.6082,32.6082,94.0,93.86531787693863,93.70262756214713,-10.925317876938633
32.6276,32.6276,88.0,93.9021185367188,93.73891902476716,-16.962118536718805
32.6471,32.6471,104.0,93.93897566264977,93.7752618941495,-0.9989756626497677
32.6665,32.6665,94.0,93.97588427881453,93.81165636739796,-11.035884278814533
32.686,32.686,93.0,94.0128500031203,93.84810266831322,-12.072850003120307
32.7054,32.7054,112.0,94.0498675816539,93.88460102120226,6.8901324183461
32.7249,32.7249,99.0,94.08694276143201,93.92115164809145,-6.146942761432014
32.7444,32.7444,90.0,94.12407297334893,93.95775480656718,-15.18407297334893
32.7638,32.7638,68.0,94.16125597171286,93.99441076780299,-37.221255971712864
32.7833,32.7833,116.0,94.19849737311748,94.03111979232372,10.741502626882523
32.8027,32.8027,88.0,94.23579190052712,94.06788207068938,-17.29579190052712
32.8222,32.8222,112.0,94.27314537895447,94.10469781973146,6.666854621045532
32.8416,32.8416,82.0,94.31055238099191,94.14156723995247,-23.37055238099191
32.8611,32.8611,86.0,94.3480187460962,94.17849056763225,-19.408018746096204
32.8806,32.8806,86.0,94.38554199480589,94.21546800637213,-19.445541994805893
32.9,32.9,107.0,94.42311943125856,94.25249973776279,1.5168805687414437
32.9195,32.9195,83.0,94.46075695748857,94.28958592128461,-22.520756957488572
32.9389,32.9389,93.0,94.49844903662421,94.326726748534,-12.558449036624209
32.9584,32.9584,92.0,94.53620154953333,94.36392238072206,-13.596201549533331
32.9778,32.9778,84.0,94.57400894586137,94.40117297549178,-21.634008945861368
32.9973,32.9973,81.0,94.61187717782872,94.4384786841273,-24.67187717782872
33.0168,33.0168,96.0,94.64980357023852,94.475839629919,-9.709803570238519
33.0362,33.0362,83.0,94.68778517048517,94.51325589998761,-22.747785170485173
33.0557,33.0557,107.0,94.7258280128937,94.55072758554815,1.2141719871062993
33.0751,33.0751,86.0,94.76392632240247,94.58825474682824,-19.82392632240247
33.0946,33.0946,97.0,94.80208606452757,94.62583747560124,-8.862086064527572
33.114,33.114,102.0,94.84030141352679,94.66347584052676,-3.9003014135267886
33.1335,33.1335,95.0,94.87857851464312,94.70116991663792,-10.938578514643124
33.153,33.153,94.0,94.91691435785971,94.73891979847241,-11.97691435785971
33.1724,33.1724,118.0,94.95530613313481,94.77672558137105,11.984693866865188
33.1919,33.1919,82.0,94.99375987257568,94.81458735868783,-24.053759872575682
33.2113,33.2113,79.0,95.03226976286804,94.85250524565208,-27.092269762868042
33.2308,33.2308,96.0,95.07084209329001,94.89047932300296,-10.130842093290012
33.2502,33.2502,106.0,95.10947058043666,94.92850962881238,-0.16947058043666452
33.2697,33.2697,98.0,95.14816159996019,94.96659620413342,-8.20816159996019
33.2892,33.2892,95.0,95.18691206297966,95.0047391186647,-11.246912062979659
33.3086,33.3086,97.0,95.22571899229668,95.04293845024323,-9.285718992296678
33.3281,33.3281,85.0,95.26458875157147,95.08119427669318,-21.32458875157147
33.3475,33.3475,92.0,95.30351513656588,95.11950668109432,-14.363515136565878
33.367,33.367,85.0,95.3425046262884,95.15787571939393,-21.402504626288405
33.3864,33.3864,89.0,95.38155077537938,95.19630143914704,-17.441550775379383
33.4059,33.4059,92.0,95.42066014100075,95.23478386056975,-14.480660141000753
33.4254,33.4254,94.0,95.45982949811852,95.27332298720356,-12.519829498118524
33.4448,33.4448,123.0,95.4990556486785,95.31191881388715,16.44094435132149
33.4643,33.4643,97.0,95.53834516019799,95.35057133203479,-9.598345160197992
33.4837,33.4837,88.0,95.5776914411805,95.38928054173708,-18.637691441180507
33.5032,33.5032,105.0,95.61710108563393,95.42804644751494,-1.6771010856339341
33.5226,33.5226,83.0,95.65656750674096,95.46686903400325,-23.716567506740958
33.5421,33.5421,85.0,95.69609738699096,95.50574831096917,-21.75609738699096
33.5616,33.5616,96.0,95.73568753819747,95.54468425462564,-10.795687538197468
33.581,33.581,102.0,95.7753343368147,95.58367681291037,-4.835334336814695
33.6005,33.6005,80.0,95.81504458406243,95.6227259349849,-26.875044584062437
33.6199,33.6199,106.0,95.85481160944093,95.66183158712163,-0.91481160944093
33.6394,33.6394,103.0,95.89464194441379,95.7009936935443,-3.954641944413792
33.6588,33.6588,112.0,95.93452890824592,95.74021220544024,5.005471091754076
33.6783,33.6783,102.0,95.97447943655709,95.77948709340428,-5.03447943655709
33.6978,33.6978,89.0,96.01448996886951,95.81881836429697,-18.074489968869514
33.7172,33.7172,110.0,96.05455707062745,95.85820604157674,2.8854429293725463
33.7367,33.7367,80.0,96.09468771502699,95.89765013035151,-27.154687715026995
33.7561,33.7561,85.0,96.13487515905487,95.93715067014304,-22.194875159054874
33.7756,33.7756,91.0,96.17512631453032,95.97670765768427,-16.23512631453032
33.795,33.795,94.0,96.21543408196638,96.01632106027165,-13.27543408196638
33.8145,33.8145,106.0,96.25580572524692,96.05599083180994,-1.315805725246916
33.834,33.834,80.0,96.29623744765897,96.0957169207804,-27.35623744765897
33.8534,33.8534,93.0,96.3367257290529,96.13549930169418,-14.396725729052902
33.8729,33.8729,107.0,96.3772778179646,96.17533790574055,-0.4372778179645973
33.8923,33.8923,104.0,96.41788627981055,96.21523265567333,-3.477886279810546
33.9118,33.9118,97.0,96.45855857821658,96.25518350233469,-10.518558578216583
33.9312,33.9312,101.0,96.49928718010074,96.29519041722443,-6.559287180100737
33.9507,33.9507,97.0,96.5400795684762,96.33525337384397,-10.600079568476202
33.9702,33.9702,82.0,96.58093206013115,96.37537235828967,-25.64093206013115
33.9896,33.9896,92.0,96.62184088720242,96.41554735844439,-15.681840887202425
34.0091,34.0091,97.0,96.66281366516105,96.45577832349973,-10.722813665161054
34.0285,34.0285,105.0,96.70384260017605,96.49606519076633,-2.763842600176046
34.048,34.048,96.0,96.74493541398328,96.5364078990175,-11.804935413983285
34.0674,34.0674,90.0,96.7860843598895,96.57680640951206,-17.846084359889502
34.0869,34.0869,97.0,96.8272972560839,96.61726068206647,-10.887297256083896
34.1064,34.1064,95.0,96.8685701407189,96.65777065879833,-12.928570140718902
34.1258,34.1258,80.0,96.90989903116824,96.6983362828539,-27.96989903116824
34.1453,34.1453,84.0,96.95129180944664,96.73895749292086,-24.011291809446647
34.1647,34.1647,106.0,96.99274053077367,96.77963418274295,-2.052740530773674
34.1842,34.1842,93.0,97.0342528645676,96.82036621177734,-15.094252864567606
34.2036,34.2036,86.0,97.07582100526456,96.86115346375264,-22.13582100526456
34.2231,34.2231,77.0,97.11745268380047,96.90199581211864,-31.177452683800468
34.2426,34.2426,112.0,97.15914384303898,96.94289310109316,3.7808561569610237
34.262,34.262,81.0,97.20089024975508,96.98384512132728,-27.26089024975508
34.2815,34.2815,104.0,97.2426998648903,97.02485169897501,-4.3026998648902985
34.3009,34.3009,87.0,97.28456433127036,97.06591261716973,-21.344564331270362
34.3204,34.3204,106.0,97.32649172977727,97.10702767761309,-2.3864917297772745
34.3398,34.3398,84.0,97.36847357832468,97.1481966549155,-24.428473578324684
34.3593,34.3593,85.0,97.41051815519239,97.18941934714769,-23.470518155192394
34.3788,34.3788,97.0,97.45262089661851,97.2306955169923,-11.512620896618513
34.3982,34.3982,99.0,97.49477741500439,97.27202489432453,-9.554777415004393
34.4177,34.4177,107.0,97.53699603464133,97.31340720839945,-1.596996034641334
34.4371,34.4371,101.0,97.57926788046407,97.35484219311321,-7.6392678804640735
