Alloy,T_formation_K,Monocrystal_Total_MPa
Fe20Ni50Cr30,300,91.4790292608114
Fe20Ni50Cr30,400,82.43654919039199
Fe20Ni50Cr30,500,76.84522430342683
Fe20Ni50Cr30,600,73.0441043402914
Fe20Ni50Cr30,700,70.29110066425909
Fe20Ni50Cr30,773,68.71660569769764
Fe20Ni50Cr30,800,68.20473614492306
Fe20Ni50Cr30,900,66.56875961524817
Fe20Ni50Cr30,1000,65.25139359858441
Fe20Ni50Cr30,1100,64.16773690890963
Fe20Ni50Cr30,1200,63.26061284938316
Fe20Ni50Cr30,1273,62.68646785922076
Fe20Ni50Cr30,1400,61.82748088389559
Fe20Ni50Cr30,1500,61.25155971509302
Fe20Ni50Cr30,1600,60.746356883570975
Fe20Ni50Cr30,1700,60.2995936756212
Fe20Ni50Cr30,1800,59.901679655400834
Fe20Ni50Cr30,1900,59.54501487693999
Fe20Ni50Cr30,2000,59.22349875879486
Fe34Ni33Cr33,300,70.00305360669498
Fe34Ni33Cr33,400,64.43849310917233
Fe34Ni33Cr33,500,60.97991933609906
Fe34Ni33Cr33,600,58.6220556185316
Fe34Ni33Cr33,700,56.911501196588965
Fe34Ni33Cr33,773,55.9322842780083
Fe34Ni33Cr33,800,55.61381245645578
Fe34Ni33Cr33,900,54.59557564671727
Fe34Ni33Cr33,1000,53.77527690653987
Fe34Ni33Cr33,1100,53.10030020326364
Fe34Ni33Cr33,1200,52.535162903028485
Fe34Ni33Cr33,1273,52.17742523682455
Fe34Ni33Cr33,1400,51.64215477726738
Fe34Ni33Cr33,1500,51.28324591273186
Fe34Ni33Cr33,1600,50.96839424211054
Fe34Ni33Cr33,1700,50.68995558451758
Fe34Ni33Cr33,1800,50.44195767341459
Fe34Ni33Cr33,1900,50.21966671987185
Fe34Ni33Cr33,2000,50.019282178411565
Fe60Ni20Cr20,300,37.92497647029837
Fe60Ni20Cr20,400,36.57186194186938
Fe60Ni20Cr20,500,35.69851587733204
Fe60Ni20Cr20,600,35.090301501764564
Fe60Ni20Cr20,700,34.64302464245241
Fe60Ni20Cr20,773,34.38481212496748
Fe60Ni20Cr20,800,34.30050459138354
Fe60Ni20Cr20,900,34.02989704790541
Fe60Ni20Cr20,1000,33.81075448102227
Fe60Ni20Cr20,1100,33.629695150757506
Fe60Ni20Cr20,1200,33.477599288533185
Fe60Ni20Cr20,1273,33.38109010319202
Fe60Ni20Cr20,1400,33.23635871287528
Fe60Ni20Cr20,1500,33.13909702240601
Fe60Ni20Cr20,1600,33.05363369285922
Fe60Ni20Cr20,1700,32.97794609231244
Fe60Ni20Cr20,1800,32.91044863971847
Fe60Ni20Cr20,1900,32.84988087754441
Fe60Ni20Cr20,2000,32.795228242578936
