Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.30000 | 62.511750 | 3.33382 | -2539.58228200
6.35000 | 64.011970 | 3.36028 | -2539.58551700
6.40000 | 65.536000 | 3.38673 | -2539.58781800
6.45000 | 67.084030 | 3.41319 | -2539.58925100
6.50000 | 68.656250 | 3.43965 | -2539.58988000
6.51847 | 69.243180 | 3.44943 | -2539.58992100
6.55000 | 70.252840 | 3.46611 | -2539.58976500
6.60000 | 71.874000 | 3.49257 | -2539.58903900
6.65000 | 73.519910 | 3.51903 | -2539.58784200
6.70000 | 75.190750 | 3.54549 | -2539.58620400
6.76522 | 77.407990 | 3.58000 | -2539.58345100
