Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.20000 | 59.582000 | 3.28090 | -2635.81135700
6.25000 | 61.035160 | 3.30736 | -2635.81665500
6.30000 | 62.511750 | 3.33382 | -2635.82089200
6.35000 | 64.011970 | 3.36028 | -2635.82414500
6.40000 | 65.536000 | 3.38673 | -2635.82648500
6.45000 | 67.084030 | 3.41319 | -2635.82798000
6.50000 | 68.656250 | 3.43965 | -2635.82869300
6.52420 | 69.425950 | 3.45246 | -2635.82883700
6.55000 | 70.252840 | 3.46611 | -2635.82868400
6.58000 | 71.222580 | 3.48199 | -2635.82835500
6.60000 | 71.874000 | 3.49257 | -2635.82800800
6.61000 | 72.201200 | 3.49786 | -2635.82779800
6.64000 | 73.188740 | 3.51374 | -2635.82702300
6.65000 | 73.519910 | 3.51903 | -2635.82671800
6.67000 | 74.185240 | 3.52961 | -2635.82604200
6.70000 | 75.190750 | 3.54549 | -2635.82486400
6.73000 | 76.205300 | 3.56136 | -2635.82350000
6.76000 | 77.228940 | 3.57724 | -2635.82195800
6.79000 | 78.261710 | 3.59311 | -2635.82024800
6.80000 | 78.608000 | 3.59841 | -2635.81964200
6.82000 | 79.303640 | 3.60899 | -2635.81837900
6.85000 | 80.354780 | 3.62486 | -2635.81635900
