Lattice parameter (Bohr) | Average atomic volume (au^3) | Lattice parameter (Angstrom) | Total energy (Ry)
6.20000 | 59.582000 | 3.28090 | -2532.98466000
6.25000 | 61.035160 | 3.30736 | -2532.98920300
6.30000 | 62.511750 | 3.33382 | -2532.99268000
6.35000 | 64.011970 | 3.36028 | -2532.99516600
6.40000 | 65.536000 | 3.38673 | -2532.99673600
6.45000 | 67.084030 | 3.41319 | -2532.99745800
6.50000 | 68.656250 | 3.43965 | -2532.99739400
6.55000 | 70.252840 | 3.46611 | -2532.99660400
6.60000 | 71.874000 | 3.49257 | -2532.99514700
6.64000 | 73.188740 | 3.51374 | -2532.99353700
6.65000 | 73.519910 | 3.51903 | -2532.99307500
6.67000 | 74.185240 | 3.52961 | -2532.99208600
6.70000 | 75.190750 | 3.54549 | -2532.99043700
6.75000 | 76.886720 | 3.57195 | -2532.98728200
6.76000 | 77.228940 | 3.57724 | -2532.98659300
6.79000 | 78.261710 | 3.59311 | -2532.98441500
6.80000 | 78.608000 | 3.59841 | -2532.98365200
6.82000 | 79.303640 | 3.60899 | -2532.98207700
6.85000 | 80.354780 | 3.62486 | -2532.97958900
