File_Name,Deformation,C11,C22,C33,C12,C13,C23,C44,C55,C66,C14,C15,C16,C24,C25,C26,C34,C35,C36,C45,C46,C56,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio
A0_10,"0,000001","257,8","258,2","256,0","154,5","153,7","154,5","143,3","142,5","143,3","-0,5","0,0","-0,3","-0,6","0,1","0,1","-0,4","-0,3","-0,2","-0,2","0,0","-0,4","188,6","106,4","268,8","0,262"
A0_10,"0,000002","257,8","258,2","256,0","154,5","153,7","154,5","143,3","142,5","143,3","-0,5","0,0","-0,3","-0,6","0,1","0,1","-0,4","-0,3","-0,2","-0,2","0,0","-0,4","188,6","106,4","268,8","0,262"
A0_10,"0,000004","257,8","258,2","256,0","154,5","153,7","154,5","143,3","142,5","143,3","-0,5","0,0","-0,3","-0,6","0,1","0,1","-0,4","-0,3","-0,2","-0,2","0,0","-0,4","188,6","106,4","268,8","0,262"
A0_10,"0,000006","257,8","258,2","256,0","154,5","153,7","154,5","143,3","142,5","143,3","-0,5","0,0","-0,3","-0,6","0,1","0,1","-0,4","-0,3","-0,2","-0,2","0,0","-0,4","188,6","106,4","268,8","0,262"
A0_10,"0,000008","257,8","258,2","256,0","154,5","153,7","154,5","143,3","142,5","143,3","-0,5","0,0","-0,3","-0,6","0,1","0,1","-0,4","-0,3","-0,2","-0,2","0,0","-0,4","188,6","106,4","268,8","0,262"
A0_1,"0,000001","251,9","251,7","255,6","154,2","150,7","153,1","142,1","139,7","143,2","0,3","1,1","-1,4","0,0","0,4","-2,5","1,2","1,8","-0,6","-0,5","0,4","0,3","186,1","105,1","265,3","0,262"
A0_1,"0,000002","251,9","251,7","255,6","154,2","150,7","153,1","142,1","139,7","143,2","0,3","1,1","-1,4","0,0","0,4","-2,5","1,2","1,8","-0,6","-0,5","0,4","0,3","186,1","105,1","265,3","0,262"
A0_1,"0,000004","251,9","251,7","255,6","154,2","150,7","153,1","142,1","139,7","143,2","0,3","1,1","-1,4","0,0","0,4","-2,5","1,2","1,8","-0,6","-0,5","0,4","0,3","186,1","105,1","265,3","0,262"
A0_1,"0,000006","251,9","251,7","255,6","154,2","150,7","153,1","142,1","139,7","143,2","0,3","1,1","-1,4","0,0","0,4","-2,5","1,2","1,8","-0,6","-0,5","0,4","0,3","186,1","105,1","265,3","0,262"
A0_1,"0,000008","251,9","251,7","255,6","154,2","150,7","153,1","142,1","139,7","143,2","0,3","1,1","-1,4","0,0","0,4","-2,5","1,2","1,8","-0,6","-0,5","0,4","0,3","186,1","105,1","265,3","0,262"
A0_2,"0,000001","255,6","254,0","254,4","152,4","152,8","154,0","143,0","141,7","141,3","-0,3","0,2","-0,1","-1,1","-0,3","-0,2","-0,6","-0,9","-0,9","-0,9","-0,3","-0,3","186,9","105,5","266,5","0,262"
A0_2,"0,000002","255,6","254,0","254,4","152,4","152,8","154,0","143,0","141,7","141,3","-0,3","0,2","-0,1","-1,1","-0,3","-0,2","-0,6","-0,9","-0,9","-0,9","-0,3","-0,3","186,9","105,5","266,5","0,262"
A0_2,"0,000004","255,6","254,0","254,4","152,4","152,8","154,0","143,0","141,7","141,3","-0,3","0,2","-0,1","-1,1","-0,3","-0,2","-0,6","-0,9","-0,9","-0,9","-0,3","-0,3","186,9","105,5","266,5","0,262"
A0_2,"0,000006","255,6","254,0","254,4","152,4","152,8","154,0","143,0","141,7","141,3","-0,3","0,2","-0,1","-1,1","-0,3","-0,2","-0,6","-0,9","-0,9","-0,9","-0,3","-0,3","186,9","105,5","266,5","0,262"
A0_2,"0,000008","255,6","254,0","254,4","152,4","152,8","154,0","143,0","141,7","141,3","-0,3","0,2","-0,1","-1,1","-0,3","-0,2","-0,6","-0,9","-0,9","-0,9","-0,3","-0,3","186,9","105,5","266,5","0,262"
A0_3,"0,000001","253,8","256,2","255,1","153,3","155,2","153,3","141,9","143,8","141,9","0,1","-0,6","-1,0","0,5","-0,2","-1,9","0,7","-0,5","-0,4","-0,4","-0,3","0,0","187,7","105,7","267,1","0,263"
A0_3,"0,000002","253,8","256,2","255,1","153,3","155,2","153,3","141,9","143,8","141,9","0,1","-0,6","-1,0","0,5","-0,2","-1,9","0,7","-0,5","-0,4","-0,4","-0,3","0,0","187,7","105,7","267,1","0,263"
A0_3,"0,000004","253,8","256,2","255,1","153,3","155,2","153,3","141,9","143,8","141,9","0,1","-0,6","-1,0","0,5","-0,2","-1,9","0,7","-0,5","-0,4","-0,4","-0,3","0,0","187,7","105,7","267,1","0,263"
A0_3,"0,000006","253,8","256,2","255,1","153,3","155,2","153,3","141,9","143,8","141,9","0,1","-0,6","-1,0","0,5","-0,2","-1,9","0,7","-0,5","-0,4","-0,4","-0,3","0,0","187,7","105,7","267,1","0,263"
A0_3,"0,000008","253,8","256,2","255,1","153,3","155,2","153,3","141,9","143,8","141,9","0,1","-0,6","-1,0","0,5","-0,2","-1,9","0,7","-0,5","-0,4","-0,4","-0,3","0,0","187,7","105,7","267,1","0,263"
A0_4,"0,000001","256,8","254,0","257,9","153,7","153,2","155,0","143,8","142,0","142,5","0,0","0,3","0,0","0,1","-0,1","1,0","-0,2","0,3","-0,1","-0,1","0,0","0,0","188,1","106,1","268,0","0,263"
A0_4,"0,000002","256,8","254,0","257,9","153,7","153,2","155,0","143,8","142,0","142,5","0,0","0,3","0,0","0,1","-0,1","1,0","-0,2","0,3","-0,1","-0,1","0,0","0,0","188,1","106,1","268,0","0,263"
A0_4,"0,000004","256,8","254,0","257,9","153,7","153,2","155,0","143,8","142,0","142,5","0,0","0,3","0,0","0,1","-0,1","1,0","-0,2","0,3","-0,1","-0,1","0,0","0,0","188,1","106,1","268,0","0,263"
A0_4,"0,000006","256,8","254,0","257,9","153,7","153,2","155,0","143,8","142,0","142,5","0,0","0,3","0,0","0,1","-0,1","1,0","-0,2","0,3","-0,1","-0,1","0,0","0,0","188,1","106,1","268,0","0,263"
A0_4,"0,000008","256,8","254,0","257,9","153,7","153,2","155,0","143,8","142,0","142,5","0,0","0,3","0,0","0,1","-0,1","1,0","-0,2","0,3","-0,1","-0,1","0,0","0,0","188,1","106,1","268,0","0,263"
A0_5,"0,000001","254,5","256,6","254,9","153,3","155,4","153,5","142,4","144,2","142,1","-0,3","-0,9","0,3","0,0","-0,2","0,9","0,8","-0,4","-0,1","-0,1","-0,2","-0,3","187,8","106,0","267,7","0,262"
A0_5,"0,000002","254,5","256,6","254,9","153,3","155,4","153,5","142,4","144,2","142,1","-0,3","-0,9","0,3","0,0","-0,2","0,9","0,8","-0,4","-0,1","-0,1","-0,2","-0,3","187,8","106,0","267,7","0,262"
A0_5,"0,000004","254,5","256,6","254,9","153,3","155,4","153,5","142,4","144,2","142,1","-0,3","-0,9","0,3","0,0","-0,2","0,9","0,8","-0,4","-0,1","-0,1","-0,2","-0,3","187,8","106,0","267,7","0,262"
A0_5,"0,000006","254,5","256,6","254,9","153,3","155,4","153,5","142,4","144,2","142,1","-0,3","-0,9","0,3","0,0","-0,2","0,9","0,8","-0,4","-0,1","-0,1","-0,2","-0,3","187,8","106,0","267,7","0,262"
A0_5,"0,000008","254,5","256,6","254,9","153,3","155,4","153,5","142,4","144,2","142,1","-0,3","-0,9","0,3","0,0","-0,2","0,9","0,8","-0,4","-0,1","-0,1","-0,2","-0,3","187,8","106,0","267,7","0,262"
A0_6,"0,000001","258,4","259,2","255,2","154,5","156,3","156,1","144,4","144,6","142,8","-0,5","0,3","0,4","-2,0","-0,3","0,9","-1,3","0,2","0,6","0,6","-0,2","-0,6","189,6","106,8","269,7","0,263"
