File_Name,Deformation,C11,C22,C33,C12,C13,C23,C44,C55,C66,C14,C15,C16,C24,C25,C26,C34,C35,C36,C45,C46,C56,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio
B0_10,"0,000001","433,32","433,22","459,57","232,92","238,66","238,26","192,04","191,83","192,02","-0,18","0,09","-0,06","0,96","-0,30","0,21","1,29","-0,32","1,05","0,06","-0,37","0,16","305,09","156,26","400,42","0,28"
B0_10,"0,000002","445,64","433,99","448,37","236,38","238,71","234,97","191,81","191,79","190,67","0,32","0,19","-0,62","0,99","0,37","-0,61","0,92","-0,07","1,13","0,02","0,44","-0,19","305,35","156,05","400,01","0,28"
B0_10,"0,000004","439,74","433,41","441,64","234,37","235,55","232,70","191,81","191,61","190,82","0,15","0,46","-0,42","0,85","0,40","-0,57","0,59","0,06","1,08","0,04","0,14","-0,18","302,23","155,66","398,56","0,28"
B0_10,"0,000006","437,72","441,49","439,76","236,00","234,39","234,62","192,29","192,09","191,42","0,15","0,71","-0,52","0,97","0,55","-0,43","0,74","0,20","0,90","0,05","0,28","-0,20","303,22","156,09","399,69","0,28"
B0_10,"0,000008","436,97","439,31","438,87","235,26","233,95","233,84","192,04","191,87","191,21","0,24","0,49","-0,53","1,09","0,37","-0,42","0,65","0,14","0,89","0,09","0,16","-0,19","302,36","155,83","398,96","0,28"
B0_11,"0,000001","437,06","435,39","435,11","233,88","231,86","231,52","192,67","192,63","194,01","1,26","-1,83","-0,51","-0,81","1,07","-0,67","-0,90","-0,88","1,93","-0,13","-0,97","-0,28","300,23","156,55","400,10","0,28"
B0_11,"0,000002","436,54","434,88","434,61","233,90","231,49","231,55","192,98","192,90","193,14","1,01","-1,25","-0,31","-0,56","0,11","-0,81","-0,84","-0,76","2,32","0,07","-0,95","-0,35","299,99","156,41","399,76","0,28"
B0_11,"0,000004","436,79","440,27","441,11","235,28","233,21","234,44","192,72","192,58","193,12","1,10","-0,83","-0,64","-1,01","0,66","-0,66","-0,77","-0,91","2,26","0,07","-0,95","-0,25","302,67","156,70","400,91","0,28"
B0_11,"0,000006","444,39","438,31","439,28","236,86","234,88","233,43","193,23","192,91","193,43","0,97","-1,00","-0,77","-1,11","0,59","-0,79","-0,88","-0,74","2,23","0,14","-0,82","-0,25","303,59","157,04","401,82","0,28"
B0_11,"0,000008","442,53","440,25","441,37","236,86","234,90","234,44","192,92","192,77","193,64","1,03","-0,85","-0,68","-0,95","0,63","-0,77","-0,78","-0,73","2,24","0,13","-0,84","-0,22","304,06","157,06","401,98","0,28"
B0_12,"0,000001","433,42","458,41","438,89","237,28","234,00","237,82","190,44","194,13","192,45","0,64","0,23","-1,81","0,44","0,34","-1,16","0,58","-0,96","1,32","-0,57","-0,08","1,56","305,43","156,84","401,76","0,28"
B0_12,"0,000002","433,49","446,83","449,86","234,32","236,76","238,10","190,34","192,41","192,61","0,31","0,25","-1,21","0,69","0,96","-0,91","0,99","-0,77","1,32","-0,59","0,40","0,99","305,39","156,47","400,94","0,28"
B0_12,"0,000004","439,50","441,87","443,75","234,50","236,90","234,87","190,63","193,09","192,48","0,04","0,37","-1,39","0,34","0,88","-1,33","0,76","-0,75","1,03","-0,50","0,25","0,90","304,18","156,50","400,76","0,28"
B0_12,"0,000006","441,75","439,90","441,70","234,47","236,87","233,94","191,04","193,71","192,56","0,12","0,45","-1,21","0,45","0,83","-1,11","0,89","-0,76","1,02","-0,55","0,14","1,01","303,77","156,67","401,05","0,28"
B0_12,"0,000008","439,46","439,11","440,80","233,72","236,09","233,44","190,87","193,49","192,71","0,03","0,26","-1,24","0,43","0,84","-1,15","0,85","-0,67","1,00","-0,56","0,14","0,97","302,87","156,49","400,49","0,28"
B0_1,"0,000001","435,92","435,57","432,40","231,30","230,14","233,19","191,21","192,07","192,99","-0,54","0,33","-0,50","-1,18","-0,69","-0,19","-1,48","0,91","-1,31","0,48","0,91","0,29","299,24","155,87","398,43","0,28"
B0_1,"0,000002","435,72","434,06","432,66","231,42","230,87","232,50","190,38","192,18","192,76","-0,47","0,75","-0,03","-0,04","-0,60","-0,07","-0,89","0,91","-1,58","0,35","0,82","-0,54","299,11","155,57","397,76","0,28"
B0_1,"0,000004","441,43","433,90","433,78","232,88","232,53","232,82","190,76","192,08","192,44","-0,49","1,26","0,09","-0,08","-0,83","0,02","-0,77","0,99","-1,52","0,77","0,81","-0,62","300,62","155,78","398,50","0,28"
B0_1,"0,000006","443,45","442,49","441,30","235,49","235,15","236,99","191,27","192,56","192,87","-0,59","0,83","0,11","-0,10","-0,87","0,43","-0,67","1,01","-1,38","0,99","0,84","-0,57","304,72","156,65","401,20","0,28"
B0_1,"0,000008","441,53","440,38","439,30","234,42","234,22","235,94","191,11","192,58","192,74","-0,51","0,86","0,14","-0,18","-0,87","0,41","-0,71","1,02","-1,44","0,96","0,87","-0,58","303,38","156,39","400,38","0,28"
